Transaction_ID,Customer_ID,Screening-ID,Transaction_Date,Transaction_Time ,Ticket_Quantity,Concession_Purchase ,Concession_Amount ,Payment_Method ,Total_Amount,Points_Earned,Period,Ticket price,Helper _Function period ,,Helper_Customer_ID,Helper _amounts ,Helper_C_Purchase,Helper_Ticket_Q,helper _concession ,Helper_Points_Earned
38,660,270,24/03/2023,5:18 pm,2,FALSE,0,Debit,25,3,Implementation,12.5,Implementation,,660,27.5,FALSE,2,0,3
39,412,673,03/06/2022,10:22 am,3,TRUE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,412,37.5,TRUE,3,0,4
40,833,687,15/02/2022,8:27 pm,2,FALSE,0,Mobile,25,3,Pre-Implementation,12.5,Pre-Implementation,,833,70,FALSE,2,0,3
41,188,785,01/02/2024,8:51 pm,11,TRUE,56,Cash,193.5,19,Post-Implementation,12.5,Post-Implementation,,188,214.5,TRUE,11,56,19
42,61,701,13/01/2022,2:20 pm,1,TRUE,5,Debit,17.5,2,Pre-Implementation,12.5,Pre-Implementation,,61,17.5,TRUE,1,5,2
43,664,736,03/07/2022,2:35 pm,4,TRUE,0,Cash,50,5,Pre-Implementation,12.5,Pre-Implementation,,664,50,TRUE,4,0,5
44,485,146,28/05/2022,7:22 pm,2,FALSE,0,Mobile,25,3,Pre-Implementation,12.5,Pre-Implementation,,485,25,FALSE,2,0,3
45,945,69,04/02/2022,2:58 pm,4,TRUE,35,Mobile,85,9,Pre-Implementation,12.5,Pre-Implementation,,945,85,TRUE,4,35,9
46,709,185,04/02/2024,7:08 pm,12,TRUE,63,Mobile,213,21,Post-Implementation,12.5,Post-Implementation,,709,237.25,TRUE,12,63,21
47,308,618,24/05/2023,3:49 pm,3,TRUE,30,Mobile,67.5,7,Implementation,12.5,Implementation,,308,55,TRUE,3,30,7
48,257,365,04/01/2022,12:57 pm,1,TRUE,15,Debit,27.5,3,Pre-Implementation,12.5,Pre-Implementation,,257,27.5,TRUE,1,15,3
49,74,411,15/06/2023,6:50 pm,7,TRUE,0,Credit,87.5,9,Implementation,12.5,Implementation,,74,96.25,TRUE,7,0,9
50,865,207,14/11/2023,10:38 am,6,TRUE,42,Cash,117,12,Post-Implementation,12.5,Post-Implementation,,865,120.25,TRUE,6,42,12
51,804,586,06/02/2023,4:16 pm,7,FALSE,0,Mobile,87.5,9,Implementation,12.5,Implementation,,804,85.25,FALSE,7,0,9
52,236,981,14/08/2022,1:40 pm,3,TRUE,0,Debit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,236,37.5,TRUE,3,0,4
53,573,576,22/10/2023,2:52 pm,7,TRUE,7,Credit,94.5,9,Post-Implementation,12.5,Post-Implementation,,573,87.75,TRUE,7,7,9
54,673,148,07/12/2022,6:55 pm,2,TRUE,0,Credit,25,3,Pre-Implementation,12.5,Pre-Implementation,,673,25,TRUE,2,0,3
55,46,692,20/09/2023,12:03 pm,10,TRUE,7,Cash,132,13,Post-Implementation,12.5,Post-Implementation,,46,152.75,TRUE,10,7,13
56,97,419,24/12/2022,8:53 pm,4,TRUE,10,Cash,60,6,Pre-Implementation,12.5,Pre-Implementation,,97,60,TRUE,4,10,6
57,570,175,05/03/2024,6:42 pm,10,FALSE,0,Cash,125,13,Post-Implementation,12.5,Post-Implementation,,570,175.5,FALSE,10,0,13
58,664,473,28/07/2022,8:27 pm,3,FALSE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,664,87.5,FALSE,3,0,4
59,191,228,15/12/2022,11:21 am,1,TRUE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,191,12.5,TRUE,1,0,1
60,491,309,22/07/2023,1:00 pm,13,FALSE,0,Debit,162.5,16,Post-Implementation,12.5,Post-Implementation,,491,227.5,FALSE,13,0,16
61,358,706,26/09/2022,9:22 pm,4,FALSE,0,Mobile,50,5,Pre-Implementation,12.5,Pre-Implementation,,358,55,FALSE,4,0,5
62,816,372,19/02/2022,11:57 am,2,FALSE,0,Mobile,25,3,Pre-Implementation,12.5,Pre-Implementation,,816,25,FALSE,2,0,3
63,629,373,02/05/2023,7:39 pm,9,FALSE,0,Credit,112.5,11,Implementation,12.5,Implementation,,629,96.25,FALSE,9,0,11
64,420,879,11/02/2024,12:49 pm,14,TRUE,14,Debit,189,19,Post-Implementation,12.5,Post-Implementation,,420,224.25,TRUE,14,14,19
65,853,344,03/01/2023,11:10 am,7,TRUE,0,Debit,87.5,9,Implementation,12.5,Implementation,,853,96.25,TRUE,7,0,9
66,258,778,24/11/2022,10:45 pm,1,TRUE,30,Mobile,42.5,4,Pre-Implementation,12.5,Pre-Implementation,,258,42.5,TRUE,1,30,4
67,838,311,07/05/2023,10:55 am,3,TRUE,0,Debit,37.5,4,Implementation,12.5,Implementation,,838,41.25,TRUE,3,0,4
68,185,675,17/02/2024,3:24 pm,17,TRUE,42,Credit,254.5,25,Post-Implementation,12.5,Post-Implementation,,185,266.5,TRUE,17,42,25
69,460,773,28/08/2022,10:13 pm,2,FALSE,0,Credit,25,3,Pre-Implementation,12.5,Pre-Implementation,,460,50,FALSE,2,0,3
70,38,878,04/05/2022,10:24 pm,4,FALSE,0,Mobile,50,5,Pre-Implementation,12.5,Pre-Implementation,,38,50,FALSE,4,0,5
71,895,272,29/07/2022,1:18 pm,1,TRUE,5,Debit,17.5,2,Pre-Implementation,12.5,Pre-Implementation,,895,17.5,TRUE,1,5,2
72,930,14,16/05/2023,10:47 am,6,TRUE,54,Credit,129,13,Implementation,12.5,Implementation,,930,118.25,TRUE,6,54,13
73,119,323,26/04/2022,3:11 pm,3,FALSE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,119,37.5,FALSE,3,0,4
74,911,345,01/05/2022,8:45 pm,4,FALSE,0,Mobile,50,5,Pre-Implementation,12.5,Pre-Implementation,,911,50,FALSE,4,0,5
75,468,183,25/08/2023,9:38 pm,15,TRUE,14,Debit,201.5,20,Post-Implementation,12.5,Post-Implementation,,468,224.25,TRUE,15,14,20
76,245,212,10/08/2022,12:35 pm,1,FALSE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,245,12.5,FALSE,1,0,1
77,313,917,21/10/2022,12:08 pm,1,FALSE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,313,22.5,FALSE,1,0,1
78,969,572,29/06/2022,10:25 pm,2,TRUE,0,Cash,25,3,Pre-Implementation,12.5,Pre-Implementation,,969,25,TRUE,2,0,3
79,950,342,19/01/2023,6:48 pm,4,TRUE,0,Cash,50,5,Implementation,12.5,Implementation,,950,41.25,TRUE,4,0,5
80,328,201,22/04/2023,10:33 pm,3,TRUE,60,Mobile,97.5,10,Implementation,12.5,Implementation,,328,96.25,TRUE,3,60,10
81,865,299,05/01/2022,11:56 am,2,FALSE,0,Mobile,25,3,Pre-Implementation,12.5,Pre-Implementation,,865,25,FALSE,2,0,3
82,762,531,16/06/2022,10:27 pm,1,FALSE,0,Credit,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,762,27.5,FALSE,1,0,1
83,263,263,13/09/2023,2:19 pm,12,FALSE,0,Cash,150,15,Post-Implementation,12.5,Post-Implementation,,263,162.5,FALSE,12,0,15
84,487,316,12/01/2023,11:39 am,8,FALSE,0,Credit,100,10,Implementation,12.5,Implementation,,487,165,FALSE,8,0,10
85,979,629,04/10/2023,12:19 pm,15,TRUE,21,Credit,208.5,21,Post-Implementation,12.5,Post-Implementation,,979,214.5,TRUE,15,21,21
86,71,884,12/11/2022,3:31 pm,3,FALSE,0,Credit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,71,57.5,FALSE,3,0,4
87,425,117,29/01/2022,11:27 am,1,TRUE,0,Credit,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,425,12.5,TRUE,1,0,1
88,527,494,01/01/2022,5:37 pm,4,TRUE,50,Credit,100,10,Pre-Implementation,12.5,Pre-Implementation,,527,100,TRUE,4,50,10
89,986,539,05/04/2022,4:49 pm,4,FALSE,0,Cash,50,5,Pre-Implementation,12.5,Pre-Implementation,,986,80,FALSE,4,0,5
90,514,456,18/05/2022,5:17 pm,1,TRUE,25,Debit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,514,37.5,TRUE,1,25,4
91,839,883,08/09/2022,2:04 pm,1,TRUE,50,Cash,62.5,6,Pre-Implementation,12.5,Pre-Implementation,,839,62.5,TRUE,1,50,6
92,649,490,11/07/2023,5:27 pm,14,TRUE,42,Cash,217,22,Post-Implementation,12.5,Post-Implementation,,649,234,TRUE,14,42,22
93,156,425,28/12/2023,8:51 pm,13,TRUE,14,Cash,176.5,18,Post-Implementation,12.5,Post-Implementation,,156,191.75,TRUE,13,14,18
94,275,278,04/08/2023,7:33 pm,9,FALSE,0,Debit,112.5,11,Post-Implementation,12.5,Post-Implementation,,275,104,FALSE,9,0,11
95,923,860,25/02/2023,1:26 pm,9,TRUE,48,Mobile,160.5,16,Implementation,12.5,Implementation,,923,154,TRUE,9,48,16
96,483,269,26/02/2022,4:25 pm,1,FALSE,0,Debit,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,483,12.5,FALSE,1,0,1
97,142,330,02/01/2022,6:16 pm,2,FALSE,0,Debit,25,3,Pre-Implementation,12.5,Pre-Implementation,,142,25,FALSE,2,0,3
98,208,538,17/05/2022,10:26 pm,3,FALSE,0,Mobile,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,208,37.5,FALSE,3,0,4
99,516,981,29/01/2024,3:04 pm,8,TRUE,63,Cash,163,16,Post-Implementation,12.5,Post-Implementation,,516,156,TRUE,8,63,16
100,890,125,12/05/2022,4:25 pm,2,FALSE,0,Cash,25,3,Pre-Implementation,12.5,Pre-Implementation,,890,60,FALSE,2,0,3
101,252,913,02/11/2023,3:22 pm,16,TRUE,14,Debit,214,21,Post-Implementation,12.5,Post-Implementation,,252,240.5,TRUE,16,14,21
102,645,390,15/02/2024,10:10 am,6,TRUE,14,Credit,89,9,Post-Implementation,12.5,Post-Implementation,,645,78,TRUE,6,14,9
103,648,593,12/12/2023,9:40 pm,8,TRUE,7,Cash,107,11,Post-Implementation,12.5,Post-Implementation,,648,104,TRUE,8,7,11
104,428,921,08/06/2023,1:42 pm,4,TRUE,24,Debit,74,7,Implementation,12.5,Implementation,,428,49.5,TRUE,4,24,7
105,671,735,05/09/2022,9:38 pm,3,TRUE,35,Debit,72.5,7,Pre-Implementation,12.5,Pre-Implementation,,671,72.5,TRUE,3,35,7
106,726,951,01/04/2022,11:16 am,4,TRUE,0,Debit,50,5,Pre-Implementation,12.5,Pre-Implementation,,726,50,TRUE,4,0,5
107,729,124,25/09/2023,10:38 am,14,TRUE,35,Debit,210,21,Post-Implementation,12.5,Post-Implementation,,729,243.75,TRUE,14,35,21
108,427,455,04/03/2024,2:11 pm,7,TRUE,49,Debit,136.5,14,Post-Implementation,12.5,Post-Implementation,,427,110.5,TRUE,7,49,14
109,390,146,30/01/2023,8:41 pm,5,FALSE,0,Cash,62.5,6,Implementation,12.5,Implementation,,390,68.75,FALSE,5,0,6
110,755,22,07/02/2022,11:09 am,3,FALSE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,755,37.5,FALSE,3,0,4
111,217,861,26/02/2024,3:23 pm,6,TRUE,28,Credit,103,10,Post-Implementation,12.5,Post-Implementation,,217,91,TRUE,6,28,10
112,345,909,05/12/2022,6:35 pm,3,TRUE,35,Cash,72.5,7,Pre-Implementation,12.5,Pre-Implementation,,345,72.5,TRUE,3,35,7
113,950,510,31/07/2022,8:07 pm,4,TRUE,30,Debit,80,8,Pre-Implementation,12.5,Pre-Implementation,,950,80,TRUE,4,30,8
114,962,384,07/01/2022,10:48 pm,2,FALSE,0,Credit,25,3,Pre-Implementation,12.5,Pre-Implementation,,962,50,FALSE,2,0,3
115,461,10,03/07/2023,7:56 pm,16,TRUE,28,Cash,228,23,Post-Implementation,12.5,Post-Implementation,,461,237.25,TRUE,16,28,23
116,714,364,28/04/2022,6:58 pm,2,TRUE,35,Debit,60,6,Pre-Implementation,12.5,Pre-Implementation,,714,60,TRUE,2,35,6
117,827,108,24/03/2022,8:19 pm,4,TRUE,0,Credit,50,5,Pre-Implementation,12.5,Pre-Implementation,,827,50,TRUE,4,0,5
118,67,839,16/09/2022,9:34 pm,4,TRUE,0,Cash,50,5,Pre-Implementation,12.5,Pre-Implementation,,67,50,TRUE,4,0,5
119,464,600,26/02/2023,1:02 pm,5,TRUE,0,Debit,62.5,6,Implementation,12.5,Implementation,,464,41.25,TRUE,5,0,6
120,983,406,19/09/2022,4:15 pm,2,TRUE,0,Credit,25,3,Pre-Implementation,12.5,Pre-Implementation,,983,25,TRUE,2,0,3
121,620,519,24/06/2023,10:35 am,8,TRUE,60,Debit,160,16,Implementation,12.5,Implementation,,620,151.25,TRUE,8,60,16
122,683,105,18/03/2023,8:15 pm,6,TRUE,0,Cash,75,8,Implementation,12.5,Implementation,,683,82.5,TRUE,6,0,8
123,756,498,13/10/2023,6:05 pm,13,TRUE,28,Debit,190.5,19,Post-Implementation,12.5,Post-Implementation,,756,204.75,TRUE,13,28,19
124,258,32,28/02/2024,10:04 am,16,TRUE,0,Mobile,200,20,Post-Implementation,12.5,Post-Implementation,,258,211.25,TRUE,16,0,20
125,531,948,17/03/2023,5:07 pm,7,TRUE,54,Mobile,141.5,14,Implementation,12.5,Implementation,,531,132,TRUE,7,54,14
126,854,416,15/02/2024,3:43 pm,5,TRUE,7,Debit,69.5,7,Post-Implementation,12.5,Post-Implementation,,854,71.5,TRUE,5,7,7
127,236,467,12/07/2022,5:59 pm,3,FALSE,0,Credit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,236,37.5,FALSE,3,0,4
128,792,128,16/01/2022,2:30 pm,4,TRUE,0,Credit,50,5,Pre-Implementation,12.5,Pre-Implementation,,792,50,TRUE,4,0,5
129,335,943,01/03/2022,12:21 pm,4,FALSE,0,Mobile,50,5,Pre-Implementation,12.5,Pre-Implementation,,335,50,FALSE,4,0,5
130,643,851,15/12/2022,8:08 pm,2,FALSE,0,Cash,25,3,Pre-Implementation,12.5,Pre-Implementation,,643,25,FALSE,2,0,3
131,415,903,10/03/2023,2:52 pm,9,TRUE,42,Cash,154.5,15,Implementation,12.5,Implementation,,415,148.5,TRUE,9,42,15
132,870,373,18/06/2022,12:24 pm,3,FALSE,0,Debit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,870,77.5,FALSE,3,0,4
133,635,793,09/04/2022,3:25 pm,4,FALSE,0,Credit,50,5,Pre-Implementation,12.5,Pre-Implementation,,635,50,FALSE,4,0,5
134,866,992,06/05/2022,1:22 pm,4,TRUE,0,Cash,50,5,Pre-Implementation,12.5,Pre-Implementation,,866,50,TRUE,4,0,5
135,77,228,28/05/2023,5:10 pm,4,TRUE,24,Debit,74,7,Implementation,12.5,Implementation,,77,49.5,TRUE,4,24,7
136,212,697,01/10/2022,12:51 pm,1,FALSE,0,Mobile,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,212,12.5,FALSE,1,0,1
137,237,194,12/04/2022,5:18 pm,1,FALSE,0,Debit,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,237,22.5,FALSE,1,0,1
138,315,165,14/02/2022,7:27 pm,4,TRUE,40,Debit,90,9,Pre-Implementation,12.5,Pre-Implementation,,315,90,TRUE,4,40,9
139,972,266,04/03/2022,2:48 pm,2,TRUE,25,Debit,50,5,Pre-Implementation,12.5,Pre-Implementation,,972,50,TRUE,2,25,5
140,765,107,11/09/2023,11:01 am,8,TRUE,14,Debit,114,11,Post-Implementation,12.5,Post-Implementation,,765,94.25,TRUE,8,14,11
141,141,682,26/01/2023,1:58 pm,6,TRUE,36,Mobile,111,11,Implementation,12.5,Implementation,,141,101.75,TRUE,6,36,11
142,668,761,23/11/2023,9:37 pm,11,FALSE,0,Credit,137.5,14,Post-Implementation,12.5,Post-Implementation,,668,149.5,FALSE,11,0,14
143,832,243,16/09/2022,11:30 am,3,FALSE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,832,82.5,FALSE,3,0,4
144,196,870,18/11/2023,9:18 pm,15,FALSE,0,Credit,187.5,19,Post-Implementation,12.5,Post-Implementation,,196,253.5,FALSE,15,0,19
145,907,729,22/09/2023,5:07 pm,10,FALSE,0,Mobile,125,13,Post-Implementation,12.5,Post-Implementation,,907,191.75,FALSE,10,0,13
146,101,245,03/10/2023,7:29 pm,10,TRUE,42,Cash,167,17,Post-Implementation,12.5,Post-Implementation,,101,152.75,TRUE,10,42,17
147,735,139,14/10/2022,9:44 pm,4,TRUE,40,Mobile,90,9,Pre-Implementation,12.5,Pre-Implementation,,735,90,TRUE,4,40,9
148,568,421,04/05/2022,6:56 pm,3,FALSE,0,Credit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,568,87.5,FALSE,3,0,4
149,461,720,26/03/2022,10:17 pm,1,FALSE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,461,52.5,FALSE,1,0,1
150,912,24,02/07/2023,9:55 pm,15,FALSE,0,Cash,187.5,19,Post-Implementation,12.5,Post-Implementation,,912,256.75,FALSE,15,0,19
151,132,223,10/06/2023,6:45 pm,6,TRUE,0,Debit,75,8,Implementation,12.5,Implementation,,132,55,TRUE,6,0,8
152,995,926,06/07/2023,3:34 pm,7,FALSE,0,Credit,87.5,9,Post-Implementation,12.5,Post-Implementation,,995,78,FALSE,7,0,9
153,251,1000,05/11/2022,11:07 am,4,TRUE,15,Debit,65,7,Pre-Implementation,12.5,Pre-Implementation,,251,65,TRUE,4,15,7
154,377,231,06/10/2022,10:43 pm,3,TRUE,0,Cash,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,377,37.5,TRUE,3,0,4
155,50,42,02/08/2022,1:18 pm,1,TRUE,40,Cash,52.5,5,Pre-Implementation,12.5,Pre-Implementation,,50,52.5,TRUE,1,40,5
156,187,544,31/10/2023,10:20 pm,14,TRUE,28,Debit,203,20,Post-Implementation,12.5,Post-Implementation,,187,221,TRUE,14,28,20
157,1,21,23/02/2023,5:11 pm,5,FALSE,0,Debit,62.5,6,Implementation,12.5,Implementation,,1,55,FALSE,5,0,6
158,929,70,24/11/2022,1:22 pm,4,TRUE,0,Debit,50,5,Pre-Implementation,12.5,Pre-Implementation,,929,50,TRUE,4,0,5
159,693,551,11/07/2022,9:57 pm,1,FALSE,0,Debit,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,693,42.5,FALSE,1,0,1
160,970,239,06/02/2024,10:45 pm,11,FALSE,0,Mobile,137.5,14,Post-Implementation,12.5,Post-Implementation,,970,172.25,FALSE,11,0,14
161,922,370,20/01/2023,5:22 pm,5,TRUE,24,Cash,86.5,9,Implementation,12.5,Implementation,,922,77,TRUE,5,24,9
162,698,976,19/03/2023,11:01 am,6,FALSE,0,Mobile,75,8,Implementation,12.5,Implementation,,698,99,FALSE,6,0,8
163,154,73,10/02/2023,11:36 am,7,FALSE,0,Mobile,87.5,9,Implementation,12.5,Implementation,,154,104.5,FALSE,7,0,9
164,809,297,05/08/2022,4:48 pm,3,FALSE,0,Debit,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,809,67.5,FALSE,3,0,4
165,620,766,26/11/2023,5:22 pm,14,FALSE,0,Cash,175,18,Post-Implementation,12.5,Post-Implementation,,620,243.75,FALSE,14,0,18
166,823,713,29/05/2022,1:38 pm,1,FALSE,0,Cash,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,823,12.5,FALSE,1,0,1
167,218,193,02/09/2022,1:48 pm,1,TRUE,5,Credit,17.5,2,Pre-Implementation,12.5,Pre-Implementation,,218,17.5,TRUE,1,5,2
168,853,566,23/01/2022,9:42 pm,1,FALSE,0,Credit,12.5,1,Pre-Implementation,12.5,Pre-Implementation,,853,22.5,FALSE,1,0,1
169,211,509,30/05/2023,11:02 am,9,TRUE,48,Mobile,160.5,16,Implementation,12.5,Implementation,,211,154,TRUE,9,48,16
170,311,881,12/03/2022,11:56 am,1,TRUE,30,Mobile,42.5,4,Pre-Implementation,12.5,Pre-Implementation,,311,42.5,TRUE,1,30,4
171,104,699,04/04/2023,12:22 pm,7,TRUE,0,Debit,87.5,9,Implementation,12.5,Implementation,,104,82.5,TRUE,7,0,9
172,683,210,04/09/2022,9:15 pm,4,FALSE,0,Credit,50,5,Pre-Implementation,12.5,Pre-Implementation,,683,50,FALSE,4,0,5
173,413,808,15/01/2023,1:02 pm,3,TRUE,0,Credit,37.5,4,Implementation,12.5,Implementation,,413,41.25,TRUE,3,0,4
174,374,114,24/05/2023,7:02 pm,4,TRUE,42,Mobile,92,9,Implementation,12.5,Implementation,,374,93.5,TRUE,4,42,9
175,770,492,21/09/2022,9:00 pm,3,FALSE,0,Mobile,37.5,4,Pre-Implementation,12.5,Pre-Implementation,,770,62.5,FALSE,3,0,4
176,517,840,20/12/2023,9:23 pm,15,TRUE,70,Credit,257.5,26,Post-Implementation,12.5,Post-Implementation,,517,260,TRUE,15,70,26
177,135,166,29/09/2022,4:34 pm,4,FALSE,0,Mobile,50,5,Pre-Implementation,12.5,Pre-Implementation,,135,60,FALSE,4,0,5
178,675,104,27/08/2023,8:40 pm,15,TRUE,7,Mobile,194.5,19,Post-Implementation,12.5,Post-Implementation,,675,201.5,TRUE,15,7,19
179,772,888,11/02/2024,1:03 pm,13,TRUE,35,Cash,197.5,20,Post-Implementation,12.5,Post-Implementation,,772,227.5,TRUE,13,35,20
180,517,463,12/04/2022,6:13 pm,2,TRUE,45,Mobile,70,7,Pre-Implementation,12.5,Pre-Implementation,,517,70,TRUE,2,45,7
181,197,403,22/07/2022,12:16 pm,4,FALSE,0,Debit,50,5,Pre-Implementation,12.5,Pre-Implementation,,197,50,FALSE,4,0,5
182,159,940,19/06/2023,9:17 pm,3,FALSE,0,Credit,37.5,4,Implementation,12.5,Implementation,,159,27.5,FALSE,3,0,4
